                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1458,                 3.4616,                 4.1755,                0.00464,                0.68999,                0.01509,                 0.0068,                 2.7877,                  3.528,                 4.1217,                0.00056,                0.00056,                0.00056
                      2,                 3.1205,                 3.3402,                 4.0059,                0.00424,                0.66466,                0.03505,                0.01001,                 2.8633,                 3.7292,                 3.8234,              0.0011287,              0.0011287,              0.0011287
                      3,                 2.9853,                 3.2224,                 3.7102,                0.05406,                0.21713,                0.02896,                0.00909,                 2.8304,                  5.171,                 3.9665,              0.0016859,              0.0016859,              0.0016859
                      4,                 2.8292,                 3.1454,                 3.4925,                 0.0859,                0.22437,                0.04931,                0.01663,                 2.7658,                 4.9916,                 3.6559,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.7054,                 3.1021,                 3.3254,                0.14745,                0.20321,                  0.086,                0.02662,                 2.6467,                 5.8714,                 3.4919,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.6606,                 3.0357,                 3.2103,                0.18248,                0.22437,                0.12345,                0.03558,                 2.5783,                 5.9226,                 3.3334,               0.001901,               0.001901,               0.001901
                      7,                  2.554,                 3.0092,                 3.1178,                0.11892,                 0.3878,                0.10786,                0.03976,                 2.4567,                 3.2113,                 3.2307,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.5294,                 2.9791,                 3.0882,                0.22444,                0.18335,                0.12167,                0.04284,                 2.4163,                 3.0543,                 3.2377,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.4799,                  2.907,                 3.0168,                0.17487,                0.25257,                0.09156,                0.03269,                 2.3862,                 4.0153,                 3.1215,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.4227,                  2.788,                 2.9351,                0.04195,                0.08444,                0.02363,                0.00824,                 2.3491,                 3.2761,                 3.2579,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3739,                 2.7265,                 2.8963,                0.28131,                 0.2316,                0.14695,                0.04345,                 2.3267,                 2.8248,                 3.0631,               0.001802,               0.001802,               0.001802
                     12,                 2.3041,                  2.636,                 2.8459,                0.17553,                0.27624,                0.13256,                0.04467,                 2.3022,                  2.788,                 2.9903,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.2719,                 2.6402,                  2.781,                0.23927,                0.37394,                0.18499,                0.05457,                 2.1978,                 2.8153,                  2.846,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2819,                 2.6119,                 2.7362,                 0.2767,                0.27865,                 0.1878,                0.06018,                 2.2002,                 4.3031,                 2.9675,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1529,                 2.4384,                 2.6722,                 0.2425,                0.38721,                0.19078,                0.07264,                 2.2578,                 3.0403,                 2.9522,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.0827,                 2.4354,                 2.6022,                0.32626,                0.38359,                0.25126,                0.07805,                 2.1596,                 2.6459,                 2.8169,               0.001703,               0.001703,               0.001703
                     17,                 2.0791,                  2.347,                 2.5688,                0.26081,                0.38721,                0.19927,                0.06557,                 2.0325,                 2.8437,                 2.7117,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.9988,                 2.2598,                 2.4853,                0.21322,                0.34782,                0.17467,                 0.0655,                 1.9606,                  3.913,                 2.6124,              0.0016634,              0.0016634,              0.0016634
